Link Name,beam1,beam2,beam3
frame1_beam_index_RSF1_Car1,103,52,93
frame1_beam_index_RSF1_Car4,15,107,72
frame1_beam_index_RSF1_Car5,61,21,103
frame2_beam_index_RSF1_Car1,122,83,87
frame2_beam_index_RSF1_Car4,75,75,88
frame2_beam_index_RSF1_Car5,117,100,104
frame5_beam_index_RSF1_Car1,24,3,22
frame5_beam_index_RSF1_Car4,53,2,88
frame5_beam_index_RSF1_Car5,108,30,38
frame6_beam_index_RSF1_Car1,2,64,60
frame6_beam_index_RSF1_Car4,21,33,76
frame6_beam_index_RSF1_Car5,58,22,125
frame8_beam_index_RSF1_Car1,108,89,49
frame8_beam_index_RSF1_Car4,91,59,127
frame8_beam_index_RSF1_Car5,42,92,60
frame10_beam_index_RSF1_Car1,80,15,62
frame10_beam_index_RSF1_Car4,62,47,62
frame10_beam_index_RSF1_Car5,51,108,55
frame11_beam_index_RSF1_Car1,116,64,121
frame11_beam_index_RSF1_Car4,3,101,51
frame11_beam_index_RSF1_Car5,7,21,73
frame15_beam_index_RSF1_Car1,39,18,4
frame15_beam_index_RSF1_Car4,89,60,14
frame15_beam_index_RSF1_Car5,114,122,9
frame16_beam_index_RSF1_Car1,90,53,2
frame16_beam_index_RSF1_Car4,84,92,111
frame16_beam_index_RSF1_Car5,60,71,44
frame22_beam_index_RSF1_Car1,125,8,47
frame22_beam_index_RSF1_Car4,35,78,81
frame22_beam_index_RSF1_Car5,36,50,104
frame23_beam_index_RSF1_Car1,4,2,126
frame23_beam_index_RSF1_Car4,6,54,106
frame23_beam_index_RSF1_Car5,4,54,93
frame24_beam_index_RSF1_Car1,63,18,90
frame24_beam_index_RSF1_Car4,44,34,74
frame24_beam_index_RSF1_Car5,62,100,14
frame27_beam_index_RSF1_Car1,95,48,15
frame27_beam_index_RSF1_Car4,72,78,87
frame27_beam_index_RSF1_Car5,124,121,62
frame34_beam_index_RSF1_Car1,40,85,80
frame34_beam_index_RSF1_Car4,109,82,111
frame34_beam_index_RSF1_Car5,53,24,26
frame35_beam_index_RSF1_Car1,89,124,60
frame35_beam_index_RSF1_Car4,124,109,41
frame35_beam_index_RSF1_Car5,29,15,45
frame36_beam_index_RSF1_Car1,65,89,71
frame36_beam_index_RSF1_Car4,9,88,1
frame36_beam_index_RSF1_Car5,108,8,88
frame37_beam_index_RSF1_Car1,63,11,115
frame37_beam_index_RSF1_Car4,81,8,35
frame37_beam_index_RSF1_Car5,35,33,123
frame40_beam_index_RSF1_Car1,5,106,103
frame40_beam_index_RSF1_Car4,122,41,28
frame40_beam_index_RSF1_Car5,7,73,72
frame42_beam_index_RSF1_Car1,12,34,33
frame42_beam_index_RSF1_Car4,48,119,23
frame42_beam_index_RSF1_Car5,62,88,37
frame44_beam_index_RSF1_Car1,99,44,104
frame44_beam_index_RSF1_Car4,86,91,35
frame44_beam_index_RSF1_Car5,65,99,101
frame45_beam_index_RSF1_Car1,47,78,3
frame45_beam_index_RSF1_Car4,1,5,90
frame45_beam_index_RSF1_Car5,119,127,14
frame47_beam_index_RSF1_Car1,103,27,9
frame47_beam_index_RSF1_Car4,79,15,90
frame47_beam_index_RSF1_Car5,42,124,77
frame49_beam_index_RSF1_Car1,51,63,96
frame49_beam_index_RSF1_Car4,103,113,52
frame49_beam_index_RSF1_Car5,125,96,4
frame51_beam_index_RSF1_Car1,94,101,23
frame51_beam_index_RSF1_Car4,103,109,15
frame51_beam_index_RSF1_Car5,43,29,36
frame56_beam_index_RSF1_Car1,13,32,71
frame56_beam_index_RSF1_Car4,59,115,86
frame56_beam_index_RSF1_Car5,28,66,42
frame59_beam_index_RSF1_Car1,45,62,57
frame59_beam_index_RSF1_Car4,117,6,28
frame59_beam_index_RSF1_Car5,28,108,44
frame66_beam_index_RSF1_Car1,84,30,62
frame66_beam_index_RSF1_Car4,75,122,119
frame66_beam_index_RSF1_Car5,92,89,103
